Friedrich	Mann
Spielhagen	Mann
Zum	O
Zeitvertreib	O
Erstes	O
Kapitel	O
Jetzt	O
nur	O
noch	O
die	O
Speisekammer	O
	O
rief	O
Adele	Frau
	O
von	O
der	O
Küche	O
aus	O
eine	O
schmale	O
	O
niedrige	O
Thür	O
nach	O
einem	O
winzigen	O
Gelaß	O
öffnend	O
	O
das	O
durch	O
ein	O
viereckiges	O
	O
vergittertes	O
Fensterchen	O
spärlich	O
erhellt	O
wurde	O
.	O
Bewunderungswürdig	O
	O
sagte	O
Klotilde	Frau
mit	O
einem	O
gelangweilten	O
Blick	O
über	O
die	O
Schulter	O
der	O
Freundin	Frau
.	O
Nicht	O
wahr	O
?	O
erwiderte	O
Adele	Frau
	O
sich	O
so	O
schnell	O
wendend	O
	O
daß	O
Klotilde	Frau
eben	O
nur	O
noch	O
ihr	O
Gähnen	O
verbergen	O
konnte	O
.	O
Zwölf	O
Fuß	O
im	O
Quadrat	O
--	O
nicht	O
mehr	O
--	O
Elimar	Mann
hat	O
es	O
ausgemessen	O
.	O
Und	O
alles	O
darin	O
untergebracht	O
--	O
selbst	O
die	O
zwanzig	O
Einmachebüchsen	O
	O
die	O
mir	O
die	O
gute	O
Mama	Frau
gestern	O
geschickt	O
hat	O
!	O
Aber	O
Eure	O
Berliner	Mann
Baumeister	Mann
habe	O
ich	O
doch	O
auf	O
dem	O
Strich	O
.	O
Alles	O
für	O
den	O
äußeren	O
Schein	O
:	O
Keine	O
Spur	O
von	O
einem	O
Verständnis	O
für	O
das	O
	O
was	O
eine	O
Hausfrau	Frau
braucht	O
.	O
Na	O
!	O
nun	O
wollen	O
wir	O
wieder	O
nach	O
vorn	O
gehen	O
.	O
Das	O
heißt	O
	O
erst	O
mußt	O
Du	O
mein	O
Kleid	O
für	O
heute	O
abend	O
sehen	O
.	O
Bei	O
der	O
Gelegenheit	O
kann	O
ich	O
Dir	O
gleich	O
auch	O
noch	O
unser	O
Schlafzimmer	O
zeigen	O
.	O
Elimar	Mann
mag	O
das	O
zwar	O
nicht	O
.	O
Er	O
findet	O
es	O
undelikat	O
.	O
Ich	O
weiß	O
nicht	O
	O
warum	O
.	O
Dabei	O
ist	O
doch	O
nichts	O
Schlimmes	O
.	O
Meinst	O
Du	O
nicht	O
auch	O
?	O
Gewiß	O
nicht	O
	O
sagte	O
Klotilde	Frau
	O
honni	O
soit	O
qui	O
mal	O
y	O
pense	O
.	O
Nicht	O
wahr	O
?	O
Besonders	O
wenn	O
wir	O
Frauen	O
unter	O
uns	O
sind	O
.	O
Und	O
nun	O
gar	O
wir	O
beide	O
!	O
Lieber	O
Gott	O
	O
wir	O
haben	O
doch	O
keine	O
Geheimnisse	O
vor	O
einander	O
!	O
Ach	O
	O
Klotilde	Frau
	O
wenn	O
ich	O
Dich	O
nicht	O
hier	O
hätte	O
in	O
diesem	O
gräßlichen	O
Berlin	O
!	O
Freust	O
Du	O
Dich	O
nicht	O
auch	O
	O
daß	O
wir	O
nun	O
wieder	O
beisammen	O
sind	O
?	O
Ob	O
ich	O
mich	O
freue	O
!	O
Also	O
das	O
ist	O
Euer	O
Schlafzimmer	O
?	O
Das	O
ist	O
unser	O
Schlafzimmer	O
!	O
Klein	O
	O
aber	O
furchtbar	O
nett	O
.	O
Findest	O
Du	O
nicht	O
?	O
Und	O
Morgensonne	O
	O
sagt	O
der	O
Wirt	Mann
	O
haben	O
wir	O
auch	O
.	O
Na	O
	O
in	O
den	O
acht	O
Tagen	O
	O
daß	O
wir	O
hier	O
sind	O
	O
hat	O
noch	O
keine	O
geschienen	O
;	O
und	O
Elimar	Mann
ist	O
zweifelhaft	O
	O
ob	O
sie	O
	O
wenn	O
sie	O
mal	O
scheint	O
	O
bis	O
zu	O
uns	O
kommt	O
--	O
im	O
Hochsommer	O
	O
meint	O
er	O
	O
wäre	O
es	O
möglich	O
.	O
Abwarten	O
	O
sage	O
ich	O
.	O
Na	O
	O
wie	O
findest	O
Du	O
es	O
?	O
Das	O
Kleid	O
	O
meine	O
ich	O
.	O
Dein	O
Brautkleid	O
!	O
Also	O
doch	O
!	O
Also	O
was	O
?	O
Ich	O
dachte	O
	O
Du	O
würdest	O
es	O
nicht	O
wiedererkennen	O
.	O
Ich	O
habe	O
es	O
nämlich	O
während	O
der	O
zwei	O
Jahre	O
schon	O
sechsmal	O
angehabt	O
--	O
zuletzt	O
auf	O
dem	O
Kommandanturball	O
--	O
und	O
jedesmal	O
ein	O
bißchen	O
verändert	O
.	O
Das	O
heißt	O
:	O
diesmal	O
nicht	O
--	O
ich	O
hatte	O
keine	O
Zeit	O
.	O
Meinst	O
Du	O
	O
daß	O
es	O
noch	O
geht	O
?	O
Die	O
Damen	O
standen	O
vor	O
dem	O
Bett	O
	O
über	O
welches	O
das	O
Kleid	O
gebreitet	O
war	O
.	O
Das	O
heißt	O
:	O
es	O
muß	O
gehen	O
	O
fuhr	O
Adele	Frau
eifrig	O
fort	O
	O
während	O
Klotilde	Frau
hier	O
und	O
da	O
einen	O
Zipfel	O
musternd	O
aufhob	O
;	O
ich	O
habe	O
kein	O
anderes	O
.	O
Dann	O
ist	O
die	O
Sache	O
ja	O
erledigt	O
	O
sagte	O
Klotilde	Frau
lächelnd	O
.	O
Ganz	O
meine	O
Ansicht	O
!	O
rief	O
Adele	Frau
.	O
Mein	O
Gott	O
	O
von	O
einer	O
armen	O
Hauptmannsfrau	Frau
kann	O
man	O
doch	O
nicht	O
verlangen	O
	O
daß	O
sie	O
wie	O
eine	O
Prinzessin	Frau
ausstaffiert	O
ist	O
	O
besonders	O
wenn	O
man	O
eben	O
einen	O
kostspieligen	O
Umzug	O
durchgemacht	O
hat	O
.	O
Ich	O
deutete	O
so	O
etwas	O
gegen	O
Frau	Frau
Sudenburg	Frau
an	O
	O
und	O
weißt	O
Du	O
	O
was	O
sie	O
erwiderte	O
:	O
Die	O
Tochter	Frau
meiner	O
besten	O
Freundin	Frau
ist	O
mir	O
in	O
jedem	O
Kleide	O
willkommen	O
.	O
War	O
das	O
nicht	O
furchtbar	O
nett	O
von	O
ihr	O
.	O
Was	O
wirst	O
Du	O
denn	O
anziehen	O
?	O
Meine	O
Auswahl	O
ist	O
nicht	O
viel	O
größer	O
	O
als	O
Deine	O
:	O
arme	O
Hauptmanns	O
-	O
und	O
arme	O
Assessorenfrauen	O
--	O
c'est	O
toute	O
la	O
même	O
chose	O
.	O
Ich	O
denke	O
	O
Dein	O
Viktor	Mann
steht	O
dicht	O
vor	O
dem	O
Regierungsrat	Mann
?	O
Dann	O
haben	O
wir	O
was	O
Rechtes	O
.	O
Aber	O
Kind	Genderneutral
	O
es	O
ist	O
Zeit	O
	O
daß	O
ich	O
nach	O
Hause	O
komme	O
.	O
Eile	O
doch	O
nicht	O
so	O
!	O
Ich	O
habe	O
mich	O
die	O
ganzen	O
gräßlichen	O
acht	O
Tage	O
auf	O
diese	O
Stunde	O
gefreut	O
.	O
Und	O
bin	O
Dir	O
so	O
dankbar	O
	O
daß	O
Du	O
gleich	O
heute	O
morgen	O
angetreten	O
bist	O
	O
nach	O
der	O
langen	O
Nachtfahrt	O
.	O
Es	O
war	O
nicht	O
so	O
schlimm	O
	O
bloß	O
schauderhaft	O
langweilig	O
.	O
Habt	O
Ihr	O
Euch	O
gut	O
amüsiert	O
?	O
Amüsiert	O
?	O
In	O
dem	O
miserablen	O
Ostseenest	O
?	O
Vier	O
Wochen	O
lang	O
dieselben	O
Alltagsgesichter	O
:	O
shopkeepers	O
	O
Weiber	O
aus	O
Berlin	O
O.	O
	O
und	O
	O
wenn	O
es	O
hoch	O
kam	O
	O
eine	O
pommersche	O
oder	O
mecklenburgische	O
dicke	O
Gutsbesitzerfrau	Frau
.	O
Das	O
wird	O
für	O
Viktor	Mann
auch	O
nicht	O
gerade	O
etwas	O
gewesen	O
sein	O
.	O
Viktor	Mann
?	O
Er	O
hat	O
mich	O
bloß	O
hingebracht	O
und	O
wieder	O
abgeholt	O
.	O
Die	O
