Lou	O
Andreas-Salomé	O
:	O
Das	O
Haus	O
Kapitel	O
1	O
Erster	O
Teil	O
I.	O
Das	O
Haus	O
lag	O
an	O
der	O
Berglehne	O
und	O
überblickte	O
die	O
Stadt	O
im	O
Tal	O
und	O
langgestreckte	O
Höhen	O
jenseits	O
davon	O
.	O
Von	O
der	O
Landstraße	O
0	O
die	O
sich	O
in	O
großem	O
Bogen	O
den	O
Bergwald	O
hinaufwand	O
0	O
trat	O
man	O
gleich	O
ins	O
mittlere	O
Stockwerk	O
ein	O
wie	O
zu	O
ebner	O
Erde	O
:	O
so	O
tief	O
dem	O
Berg	O
eingebaut	O
hatte	O
das	O
kleine	O
weiße	O
Haus	O
sich	O
.	O
Auf	O
ihn	O
gestützt	O
aber	O
sah	O
es	O
nach	O
dem	O
abfallenden	O
Garten	O
zu	O
um	O
so	O
freier	O
hinaus	O
über	O
die	O
Weite	O
;	O
mit	O
sehr	O
vielen	O
hellen	O
Fensteraugen	O
bis	O
tief	O
hinab	O
0	O
mit	O
keck	O
vorspringenden	O
Erkern	O
0	O
Ausbauungen	O
der	O
ursprünglich	O
zuwenig	O
umfangreichen	O
Gemächer	O
0	O
was	O
ihm	O
freilich	O
eine	O
etwas	O
wunderliche	O
Architektur	O
0	O
doch	O
auch	O
Anmut	O
und	O
Leichtigkeit	O
verlieh	O
--	O
fast	O
0	O
als	O
raste	O
es	O
da	O
nur	O
.	O
Über	O
dem	O
mittleren	O
Erker	O
schob	O
sich	O
zu	O
oberst	O
ein	O
Altan	O
breit	O
vor	O
ins	O
baumbepflanzte	O
0	O
winterliche	O
Gartenland	O
0	O
das	O
eine	O
Steinmauer	O
0	O
alt	O
und	O
bemoost	O
0	O
umschloß	O
.	O
Die	O
Altantür	O
stand	O
trotz	O
der	O
frühen	O
Morgenstunde	O
schon	O
weit	O
geöffnet	O
.	O
Auf	O
der	O
Schwelle	O
0	O
das	O
Gesäß	O
vorsichtig	O
ins	O
warme	O
Zimmer	O
gedrückt	O
0	O
saß	O
eine	O
bejahrte	O
kleine	O
Hündin	O
und	O
blinzelte	O
schläfrig	O
nach	O
den	O
ab	O
und	O
zu	O
schwirrenden	O
hungrigen	O
Vögeln	O
0	O
