Lieber	O
Richard	Mann
Dehmel	Mann
!	O
Der	O
Ausflug	O
in	O
die	O
wunderbaren	O
Phönix	O
-	O
Nächte	O
sei	O
Dir	O
freigegeben	O
—	O
aber	O
noch	O
auf	O
lange	O
Zeit	O
nur	O
,	O
um	O
beladen	O
mit	O
den	O
Farbenlichtern	O
jen	O
-	O
seitiger	O
Sterne	O
zurückzukehren	O
&	O
damit	O
unser	O
Erde	O
-	O
Leben	O
zu	O
verklären	O
.	O
Jene	O
nicht	O
-	O
eukli	O
-	O
dischen	O
Räume	O
zu	O
bewohnen	O
ist	O
später	O
im̅er	O
noch	O
viel	O
Zeit	O
vorhanden	O
.	O
Übrigens	O
:	O
haben	O
wir	O
uns	O
immer	O
einmal	O
von	O
dieser	O
Erde	O
davongemacht	O
,	O
so	O
trifft	O
uns	O
sicher	O
das	O
Loos	O
,	O
wieder	O
von	O
vorne	O
anzufangen	O
&	O
die	O
jenseitigen	O
Geibel	O
nieder	O
-	O
zusingen	O
.	O
Es	O
wird	O
wohl	O
überall	O
deshalb	O
Geschichte	O
sein	O
(	O
wenn	O
auch	O
hoffentlich	O
andere	O
Dimensionen	O
!	O
)	O
Ich	O
denke	O
schon	O
mit	O
Schrecken	O
an	O
jene	O
neue	O
transzendentale	O
Verleger	O
-	O
Odyssen	O
.	O
Deshalb	O
in	O
Ellenna	O
:	O
Einstweilen	O
hiergeblieben	O
!	O
Standgehalten	O
!	O
Für	O
das	O
wunderbare	O
Gefühl	O
,	O
seine	O
Sternen	O
-	O
Flügel	O
unter	O
dem	O
feldgrauen	O
Kittel	O
jederzeit	O
parat	O
zu	O
haben	O
,	O
kan̅	O
man	O
noch	O
ein	O
paar	O
Jährlein	O
Fett	O
-	O
&	O
Kohlen	O
-	O
Karte	O
auf	O
sich	O
nehmen	O
.	O
Flieger	O
-	O
Abteilungs	O
-	O
Befehl	O
:	O
Alles	O
,	O
wo	O
Sternen	O
-	O
Flügel	O
hat	O
,	O
hat	O
bis	O
auf	O
weiteren	O
Befehl	O
hierzubleiben	O
!	O
Das	O
Los	O
-	O
Fliegen	O
Einzelner	O
ist	O
strengstens	O
verboten	O
Auf	O
Wiedersehn	O
!	O
Dein	O
zum	O
Flug	O
sich	O
Rüstender	O
,	O
aber	O
derzeit	O
noch	O
Klebender	O
AWM	Mann
.	O
If	O
I	O
could	O
dwell	O
where	O
Israfel	O
hath	O
dwelt	O
,	O
and	O
he	O
where	O
I	O
,	O
he	O
might	O
not	O
sing	O
so	O
wildly	O
well	O
a	O
mortal	O
melody	O
,	O
while	O
a	O
bolder	O
note	O
than	O
this	O
might	O
swell	O
from	O
my	O
lyre	O
within	O
the	O
sky	O
.	O
(	O
Poe	Mann
,	O
Israfel	Mann
)	O
seid	O
ihr	O
morgen	O
dort	O
?	O
drahtnachricht	O
heidelberg	O
friesenberg	O
1	O
b	O
alfred	O
Morgen	O
ereilt	O
Euch	O
das	O
besuchende	O
Verhängnis	O
.	O
A.	O
M.	O
Lieber	O
Richard	Mann
Dehmel	Mann
!	O
Meinen	O
Glückwunsch	O
!	O
—	O
Du	O
weißt	O
—	O
—	O
Ich	O
kom̅e	O
selber	O
später	O
.	O
Auch	O
dem	O
Z.	O
meinen	O
Glückwunsch	O
!	O
(	O
mit	O
der	O
Bitte	O
,	O
mir	O
zu	O
sagen	O
,	O
ob	O
Ihr	O
wohl	O
anfangs	O
Dezember	O
in	O
Blankenese	O
&	O
frei	O
seid	O
)	O
.	O
Der	O
Alte	Mann
:	O
Der	O
Ur	Mann
-	Mann
Alte	Mann
:	O
Der	O
Ur	Mann
-	Mann
Alte	Mann
im	O
Abgrund	O
,	O
der	O
Dich	O
durch	O
mich	O
grüßen	O
läßt	O
.	O
A.	Mann
18	O
.	O
November	O
!	O
(	O
gez	O
.	O
)	O
MI	O
.	O
AE	O
.	O
VENUS	O
FANTASIA	O
—	O
Heimat	O
???	O
—	O
Heidelberg	O
ist	O
das	O
Schlachtfeld	O
,	O
auf	O
dem	O
ich	O
viele	O
Jahre	O
gekämpft	O
habe	O
.	O
Und	O
wenn	O
ich	O
jetzt	O
hinkom̅e	O
,	O
singen	O
die	O
Geister	O
in	O
der	O
Luft	O
„	O
meine	O
Sage	O
‟	O
